Date Posted,Video URL,Content Type,Caption,Duration (sec),Post Time,Reach,followers,Views,Likes,Comments,Shares,Saves,Profile Visits,Follows Gained,Engagement Rate (%),Reach per Follower (%),CTA,Note 
11/2/2025,https://www.instagram.com/reel/DQizGtPkj1G/?utm_source=ig_web_copy_link,Reel,He serves every flavour your tongue craves!,22,night,144,2,163,3,1,0,1,0,0,0.034722222,1.8,0,low
11/3/2025,https://www.instagram.com/p/DQmhN2EkjbJ/?utm_source=ig_web_copy_link,post,"Admit it ? you can?t stop at one! ??,Crispy, spicy, and full of love ?? ",0,evening,51,30,457,7,1,0,0,10,0,0.156862745,72.9,0.196078431,high
11/3/2025,https://www.instagram.com/reel/DQmiG5ckqtS/?utm_source=ig_web_copy_link,Reel,"Sri Sai Chats, Junior College Circle, Kolar",20,night,190,30,278,12,3,0,0,0,0,0.078947368,30,0,low
11/4/2025,https://www.instagram.com/reel/DQov2aKEuGF/?utm_source=ig_web_copy_link,Reel,Bringing you the authentic taste of Masala Puri,17,evening,440,47,580,12,2,0,0,1,1,0.031818182,13.4,0.002272727,normal
11/5/2025,https://www.instagram.com/p/DQrgH15klnT/?utm_source=ig_web_copy_link,post,Nippat masala,0,night,36,47,272,8,0,0,0,2,0,0.222222222,91.5,0.055555556,high
11/6/2025,https://www.instagram.com/reel/DQryY0vkrDH/?utm_source=ig_web_copy_link,Reel,Here?s The Crowd-Favorite Nippat Masala from,23,evening,170,48,289,8,2,0,1,0,0,0.064705882,35.4,0,low
11/6/2025,https://www.instagram.com/p/DQt1mAzkn8b/?utm_source=ig_web_copy_link,post,Bhel Puri that hits all the right notes! ?????,0,evening,34,48,209,6,0,0,0,2,0,0.176470588,94.3,0.058823529,high
11/6/2025,https://www.instagram.com/reel/DQt5Oh7krE4/?utm_source=ig_web_copy_link,Reel,you just heard that Sri Sai Chats serves the crispiest Bhel Puri in town ??,16,night,207,48,290,3,0,0,0,0,0,0.014492754,20.9,0,low
11/7/2025,https://www.instagram.com/reel/DQwvoYvErMP/?utm_source=ig_web_copy_link,Reel,Me at Sri Sai Chats ???Evening sorted ???,10,evening,232,49,351,9,2,0,0,0,0,0.047413793,25.5,0,low
11/8/2025,https://www.instagram.com/reel/DQzRn8gku00/?utm_source=ig_web_copy_link&igsh=MXcxN3BmZjM0ZzZ2eg==,Reel,Final,26,night,995,54,1103,18,4,7,0,2,2,0.029145729,7.9,0.00201005,normal

